,NAME,PUBLIC STREAM,GENRES
,,,
1,EXCLUSIVELY CHART,https://streaming.exclusive.radio/er/chart/icecast.audio,
2,Exclusively 10cc,https://streaming.exclusive.radio/er/10cc/icecast.audio,classic rock|rock|70s
3,Exclusively 50 Cent,https://streaming.exclusive.radio/er/50cent/icecast.audio,rap|hip-hop|gangsta rap
4,Exclusively ABBA,https://streaming.exclusive.radio/er/abba/icecast.audio,pop|disco|70s
5,Exclusively AC/DC,https://streaming.exclusive.radio/er/acdc/icecast.audio,hard rock|classic rock|rock
6,Exclusively Adam Lambert,https://streaming.exclusive.radio/er/adamlambert/icecast.audio,pop|rock|glam
7,Exclusively Adele,https://streaming.exclusive.radio/er/adele/icecast.audio,soul|female vocalists|british
8,Exclusively Aerosmith,https://streaming.exclusive.radio/er/aerosmith/icecast.audio,hard rock|classic rock|rock
9,Exclusively Afrobeats,https://streaming.exclusive.radio/er/afrobeats/icecast.audio,
10,Exclusively A-Ha,https://streaming.exclusive.radio/er/aha/icecast.audio,new wave|pop|80s
11,Exclusively Al Green,https://streaming.exclusive.radio/er/algreen/icecast.audio,soul|funk|rhythm and blues
12,Exclusively Alabama,https://streaming.exclusive.radio/er/alabama/icecast.audio,country|southern rock|alabama
13,Exclusively Alanis Morissette,https://streaming.exclusive.radio/er/alanismorissette/icecast.audio,female vocalists|rock|alternative
14,Exclusively Alice Cooper,https://streaming.exclusive.radio/er/alicecooper/icecast.audio,hard rock|classic rock|glam rock
15,Exclusively Alison Moyet,https://streaming.exclusive.radio/er/alisonmoyet/icecast.audio,pop|female vocalists|80s
16,Exclusively America,https://streaming.exclusive.radio/er/america/icecast.audio,classic rock|rock|70s
17,Exclusively Amy Winehouse,https://streaming.exclusive.radio/er/amywinehouse/icecast.audio,soul|jazz|female vocalists
18,Exclusively Andrea Bocelli,https://streaming.exclusive.radio/er/andreabocelli/icecast.audio,classical|opera|italian
19,Exclusively Andy Williams,https://streaming.exclusive.radio/er/andywilliams/icecast.audio,oldies|60s|pop
20,Exclusively Annie Lennox,https://streaming.exclusive.radio/er/annielennox/icecast.audio,pop|female vocalists|80s
21,Exclusively Aretha Franklin,https://streaming.exclusive.radio/er/arethafranklin/icecast.audio,soul|jazz|female vocalists
22,Exclusively Ariana Grande,https://streaming.exclusive.radio/er/arianagrande/icecast.audio,pop|rnb|female vocalists
23,Exclusively Avicii,https://streaming.exclusive.radio/er/avicii/icecast.audio,house|electronic|dance
24,Exclusively Backstreet Boys,https://streaming.exclusive.radio/er/backstreetboys/icecast.audio,pop|boybands|90s
25,Exclusively Bad Bunny,https://streaming.exclusive.radio/er/badbunny/icecast.audio,reggaeton|trap|latin
26,Exclusively Barbra Streisand,https://streaming.exclusive.radio/er/streisand/icecast.audio,female vocalists|pop|80s
27,Exclusively Barry Manilow,https://streaming.exclusive.radio/er/barrymanilow/icecast.audio,pop|easy listening|80s
28,Exclusively Barry White,https://streaming.exclusive.radio/er/barrywhite/icecast.audio,soul|funk|disco
29,Exclusively BB King,https://streaming.exclusive.radio/er/bbking/icecast.audio,blues|blues rock|jazz
30,Exclusively Beach Boys,https://streaming.exclusive.radio/er/beachboys/icecast.audio,classic rock|60s|pop
31,Exclusively Beastie Boys,https://streaming.exclusive.radio/er/beastieboys/icecast.audio,hip-hop|rap|alternative
32,Exclusively Belinda Carlisle,https://streaming.exclusive.radio/er/belindacarlisle/icecast.audio,pop|80s|female vocalists
33,Exclusively Beyonce,https://streaming.exclusive.radio/er/beyonce/icecast.audio,rnb|pop|female vocalists
34,Exclusively Bieber,https://streaming.exclusive.radio/er/justinbieber/icecast.audio,
35,Exclusively Bill Withers,https://streaming.exclusive.radio/er/billwithers/icecast.audio,soul|funk|70s
36,Exclusively Billie Eilish,https://streaming.exclusive.radio/er/billyeilish/icecast.audio,pop|indie pop|electropop
37,Exclusively Billy Idol,https://streaming.exclusive.radio/er/billyidol/icecast.audio,rock|new wave|80s
38,Exclusively Billy Joel,https://streaming.exclusive.radio/er/billyjoel/icecast.audio,classic rock|singer-songwriter|rock
39,Exclusively Bing Crosby,https://streaming.exclusive.radio/er/bingcrosby/icecast.audio,jazz|swing|oldies
40,Exclusively Black Sabbath,https://streaming.exclusive.radio/er/blacksabbath/icecast.audio,heavy metal|hard rock|classic rock
41,Exclusively Blondie,https://streaming.exclusive.radio/er/blondie/icecast.audio,new wave|80s|rock
42,Exclusively Blur,https://streaming.exclusive.radio/er/blur/icecast.audio,britpop|rock|indie
43,Exclusively Bo Diddley,https://streaming.exclusive.radio/er/bodiddley/icecast.audio,blues|rhythm and blues|rock and roll
44,Exclusively Bob Dylan,https://streaming.exclusive.radio/er/bobdylan/icecast.audio,folk|singer-songwriter|classic rock
45,Exclusively Bob Marley,https://streaming.exclusive.radio/er/bobmarley/icecast.audio,reggae|roots reggae|ska
46,Exclusively Bob Seger,https://streaming.exclusive.radio/er/bobseger/icecast.audio,classic rock|rock|singer-songwriter
47,Exclusively Bollywood,https://streaming.exclusive.radio/er/bollywood/icecast.audio,soundtrack|bollywood|hindi
48,Exclusively Bon Jovi,https://streaming.exclusive.radio/er/bonjovi/icecast.audio,rock|hard rock|classic rock
49,Exclusively Booker T & The MG's,https://streaming.exclusive.radio/er/bookert/icecast.audio,soul|funk|rhythm and blues
50,Exclusively Boston,https://streaming.exclusive.radio/er/boston/icecast.audio,classic rock|rock|hard rock
51,Exclusively Brantley Gilbert,https://streaming.exclusive.radio/er/brantleygilbert/icecast.audio,country|country rock|male vocalists
52,Exclusively Bread,https://streaming.exclusive.radio/er/bread/icecast.audio,soft rock|70s|classic rock
53,Exclusively Britney,https://streaming.exclusive.radio/er/britney/icecast.audio,pop|dance|female vocalists
54,Exclusively Bruce Springsteen,https://streaming.exclusive.radio/er/springsteen/icecast.audio,rock|classic rock|singer-songwriter
55,Exclusively Bruno Mars,https://streaming.exclusive.radio/er/brunomars/icecast.audio,pop|rnb|male vocalists
56,Exclusively Bryan Adams,https://streaming.exclusive.radio/er/bryanadams/icecast.audio,rock|classic rock|80s
57,Exclusively Bryan Ferry,https://streaming.exclusive.radio/er/bryanferry/icecast.audio,glam rock|new wave|80s
58,Exclusively Buddy Guy,https://streaming.exclusive.radio/er/buddyguy/icecast.audio,blues|chicago blues|guitar
59,Exclusively Buddy Holly,https://streaming.exclusive.radio/er/buddyholly/icecast.audio,rockabilly|rock and roll|50s
60,Exclusively Calvin Harris,https://streaming.exclusive.radio/er/calvinharris/icecast.audio,electronic|dance|electro
61,Exclusvely Camila Cabello,https://streaming.exclusive.radio/er/camilacabello/icecast.audio,pop|female vocalists|dance
62,Exclusively Cardi B,https://streaming.exclusive.radio/er/cardib/icecast.audio,hip-hop|rap|trap
63,Exclusively Carly Simon,https://streaming.exclusive.radio/er/carlysimon/icecast.audio,female vocalists|pop|singer-songwriter
64,Exclusively Carole King,https://streaming.exclusive.radio/er/caroleking/icecast.audio,singer-songwriter|female vocalists|folk
65,Exclusively Carpenters,https://streaming.exclusive.radio/er/carpenters/icecast.audio,pop|70s|female vocalists
66,Exclusively Cat Stevens,https://streaming.exclusive.radio/er/catstevens/icecast.audio,folk|singer-songwriter|classic rock
67,Exclusively Celine Dion,https://streaming.exclusive.radio/er/celinedion/icecast.audio,pop|female vocalists|canadian
68,Exclusively Charley Pride,https://streaming.exclusive.radio/er/charleypride/icecast.audio,country|classic country|charley pride
69,Exclusively Charlie Parker,https://streaming.exclusive.radio/er/charlieparker/icecast.audio,jazz|bebop|saxophone
70,Exclusively Cher,https://streaming.exclusive.radio/er/cher/icecast.audio,pop|female vocalists|80s
71,Exclusively Chic,https://streaming.exclusive.radio/er/chic/icecast.audio,disco|funk|soul
72,Exclusively Chicago,https://streaming.exclusive.radio/er/chicago/icecast.audio,classic rock|rock|70s
73,Exclusively Chris Rea,https://streaming.exclusive.radio/er/chrisrea/icecast.audio,blues|rock|classic rock
74,Exclusively Christmas Carols,https://streaming.exclusive.radio/er/christmascarols/icecast.audio,christmas|holiday|love at first listen
75,Exclusively Christmas Pop,https://streaming.exclusive.radio/er/christmaspop/icecast.audio,
76,Exclusively Chuck Berry,https://streaming.exclusive.radio/er/chuckberry/icecast.audio,rock and roll|classic rock|blues
77,Exclusively Cliff Richard,https://streaming.exclusive.radio/er/cliffrichard/icecast.audio,pop|oldies|60s
78,Exclusively Coldplay,https://streaming.exclusive.radio/er/coldplay/icecast.audio,rock|alternative|britpop
79,Exclusively Creedence Clearwater Revival.,https://streaming.exclusive.radio/er/creedence/icecast.audio,classic rock|rock|southern rock
80,Exclusively Crosby Stills Nash & Young,https://streaming.exclusive.radio/er/csny/icecast.audio,classic rock|folk rock|folk
81,Exclusively Crowded House,https://streaming.exclusive.radio/er/crowdedhouse/icecast.audio,rock|pop|80s
82,Exclusively Curtis Mayfield,https://streaming.exclusive.radio/er/curtismayfield/icecast.audio,soul|funk|70s
83,Exclusively Daft Punk,https://streaming.exclusive.radio/er/daftpunk/icecast.audio,electronic|house|dance
84,Exclusively Dave Brubeck,https://streaming.exclusive.radio/er/davebrubeck/icecast.audio,jazz|piano|cool jazz
85,Exclusively David Bowie,https://streaming.exclusive.radio/er/davidbowie/icecast.audio,glam rock|rock|classic rock
86,Exclusively Dean Martin,https://streaming.exclusive.radio/er/deanmartin/icecast.audio,jazz|swing|oldies
87,Exclusively Deep Purple,https://streaming.exclusive.radio/er/deeppurple/icecast.audio,hard rock|classic rock|rock
88,Exclusively Def Leppard,https://streaming.exclusive.radio/er/defleppard/icecast.audio,hard rock|classic rock|rock
89,Exclusively Depeche Mode,https://streaming.exclusive.radio/er/depechemode/icecast.audio,electronic|new wave|synthpop
90,Exclusively Diana Krall,https://streaming.exclusive.radio/er/dianakrall/icecast.audio,jazz|female vocalists|vocal jazz
91,Exclusively Diana Ross,https://streaming.exclusive.radio/er/dianaross/icecast.audio,soul|disco|pop
92,Exclusively Dionne Warwick,https://streaming.exclusive.radio/er/dionnewarwick/icecast.audio,soul|female vocalists|pop
93,Exclusively Dire Straits,https://streaming.exclusive.radio/er/direstraits/icecast.audio,classic rock|rock|80s
94,Exclusively Disco,https://streaming.exclusive.radio/er/disco/icecast.audio,finnish|pop|electropop
95,Exclusively Dolly Parton,https://streaming.exclusive.radio/er/dollyparton/icecast.audio,country|female vocalists|singer-songwriter
96,Exclusively Donna Summer,https://streaming.exclusive.radio/er/donnasummer/icecast.audio,disco|pop|70s
97,Exclusively Doobie Brothers,https://streaming.exclusive.radio/er/doobiebrothers/icecast.audio,classic rock|rock|70s
98,Exclusively Dr Dre,https://streaming.exclusive.radio/er/drdre/icecast.audio,hip-hop|rap|gangsta rap
99,Exclusively Dr Hook,https://streaming.exclusive.radio/er/drhook/icecast.audio,classic rock|70s|soft rock
100,Exclusively Drake,https://streaming.exclusive.radio/er/drake/icecast.audio,hip-hop|rap|rnb
101,Exclusively Dua Lipa,https://streaming.exclusive.radio/er/dualipa/icecast.audio,pop|synthpop|electropop
102,Exclusively Duke Ellington,https://streaming.exclusive.radio/er/dukeellington/icecast.audio,jazz|swing|big band
103,Exclusively Duran Duran,https://streaming.exclusive.radio/er/duranduran/icecast.audio,new wave|80s|pop
104,Exclusively Eagles,https://streaming.exclusive.radio/er/eagles/icecast.audio,classic rock|rock|70s
105,Exclusively Ed Sheeran,https://streaming.exclusive.radio/er/edsheeran/icecast.audio,acoustic|british|singer-songwriter
106,Exclusively Electric Light Orchestra,https://streaming.exclusive.radio/er/elo/icecast.audio,classic rock|progressive rock|rock
107,Exclusively Ella Fitzgerald,https://streaming.exclusive.radio/er/ellafitzgerald/icecast.audio,jazz|female vocalists|blues
108,Exclusively Elton John,https://streaming.exclusive.radio/er/eltonjohn/icecast.audio,pop|classic rock|singer-songwriter
109,Exclusively Elvis Presley,https://streaming.exclusive.radio/er/elvispresley/icecast.audio,rock n roll|classic rock|rock
110,Exclusively Eminem,https://streaming.exclusive.radio/er/eminem/icecast.audio,rap|hip-hop|hip hop
111,Exclusively Engelbert Humperdinck,https://streaming.exclusive.radio/er/engelberthumperdinck/icecast.audio,oldies|60s|pop
112,Exclusively Enrique Iglesias,https://streaming.exclusive.radio/er/enriqueiglesias/icecast.audio,pop|latin|spanish
113,Exclusively Erasure,https://streaming.exclusive.radio/er/erasure/icecast.audio,synthpop|80s|new wave
114,Exclusively Eric Clapton,https://streaming.exclusive.radio/er/ericclapton/icecast.audio,blues|classic rock|blues rock
115,Exclusively Etta James,https://streaming.exclusive.radio/er/ettajames/icecast.audio,blues|soul|jazz
116,Exclusively Eurythmics,https://streaming.exclusive.radio/er/eurythmics/icecast.audio,new wave|80s|pop
117,Exclusively Eva Cassidy,https://streaming.exclusive.radio/er/evacassidy/icecast.audio,jazz|female vocalists|blues
118,Exclusively Fats Domino,https://streaming.exclusive.radio/er/fatsdomino/icecast.audio,blues|rhythm and blues|rock n roll
119,Exclusively Fleetwood Mac,https://streaming.exclusive.radio/er/fleetwoodmac/icecast.audio,classic rock|rock|70s
120,Exclusively Florida Georgia Line,https://streaming.exclusive.radio/er/floridageorgialine/icecast.audio,country|country rock|male vocalists
121,Exclusively Foo Fighters,https://streaming.exclusive.radio/er/foofighters/icecast.audio,rock|alternative rock|grunge
122,Exclusively Foreigner,https://streaming.exclusive.radio/er/foreigner/icecast.audio,classic rock|rock|hard rock
123,Exclusively Four Tops,https://streaming.exclusive.radio/er/fourtops/icecast.audio,soul|motown|60s
124,Exclusively Frank Sinatra,https://streaming.exclusive.radio/er/franksinatra/icecast.audio,jazz|swing|oldies
125,Exclusively Garth Brooks,https://streaming.exclusive.radio/er/garthbrooks/icecast.audio,country|garth brooks|90s
126,Exclusively Genesis,https://streaming.exclusive.radio/er/genesis/icecast.audio,progressive rock|classic rock|rock
127,Exclusively George Benson,https://streaming.exclusive.radio/er/georgebenson/icecast.audio,jazz|smooth jazz|soul
128,Exclusively George Ezra,https://streaming.exclusive.radio/er/georgeezra/icecast.audio,indie|folk|singer-songwriter
129,Exclusively George Harrison,https://streaming.exclusive.radio/er/georgeharrison/icecast.audio,classic rock|rock|singer-songwriter
130,Exclusively George Jones,https://streaming.exclusive.radio/er/georgejones/icecast.audio,country|classic country|singer-songwriter
131,Exclusively George Michael,https://streaming.exclusive.radio/er/georgemichael/icecast.audio,pop|80s|british
132,Exclusively George Strait,https://streaming.exclusive.radio/er/georgestrait/icecast.audio,country|george strait|classic country
133,Exclusively Glen Campbell,https://streaming.exclusive.radio/er/glencampbell/icecast.audio,country|singer-songwriter|folk
134,Exclusively Glenn Miller,https://streaming.exclusive.radio/er/glennmiller/icecast.audio,jazz|swing|big band
135,Exclusively Gloria Estefan,https://streaming.exclusive.radio/er/gloriaestefan/icecast.audio,latin|pop|female vocalists
136,Exclusively Grateful Dead,https://streaming.exclusive.radio/er/gratefuldead/icecast.audio,psychedelic rock|classic rock|psychedelic
137,Exclusively Green Day,https://streaming.exclusive.radio/er/greenday/icecast.audio,punk rock|rock|punk
138,Exclusively Gregory Porter,https://streaming.exclusive.radio/er/gregoryporter/icecast.audio,jazz|soul|vocal jazz
139,Exclusively Guns N Roses,https://streaming.exclusive.radio/er/gunsnroses/icecast.audio,hard rock|rock|classic rock
140,Exclusively Hank Williams,https://streaming.exclusive.radio/er/hankwilliams/icecast.audio,country|classic country|folk
141,Exclusively Harry Styles,https://streaming.exclusive.radio/er/harrystyles/icecast.audio,pop|rock|pop rock
142,Exclusively Herbie Hancock,https://streaming.exclusive.radio/er/herbiehancock/icecast.audio,jazz|funk|fusion
143,Exclusively Hollywood & Broadway Musicals,https://streaming.exclusive.radio/er/hollywoodandbroadway/icecast.audio,
144,Exclusively Howlin Wolf,https://streaming.exclusive.radio/er/howlinwolf/icecast.audio,blues|chicago blues|delta blues
145,Exclusively Huey Lewis & The News,https://streaming.exclusive.radio/er/hueylewis/icecast.audio,80s|rock|classic rock
146,Exclusively Imagine Dragons,https://streaming.exclusive.radio/er/imaginedragons/icecast.audio,indie|indie rock|alternative
147,Exclusively INXS,https://streaming.exclusive.radio/er/INXS/icecast.audio,rock|new wave|80s
148,Exclusively Iron Maiden,https://streaming.exclusive.radio/er/ironmaiden/icecast.audio,heavy metal|metal|nwobhm
149,Exclusively Italy,https://streaming.exclusive.radio/er/italy/icecast.audio,
150,Exclusively J POP,https://streaming.exclusive.radio/er/jpop/icecast.audio,
151,Exclusively Jack Johnson,https://streaming.exclusive.radio/er/jackjohnson/icecast.audio,acoustic|singer-songwriter|chill
152,Exclusively Jackson Browne,https://streaming.exclusive.radio/er/jacksonbrowne/icecast.audio,singer-songwriter|classic rock|folk
153,Exclusively Jacques Loussier,https://streaming.exclusive.radio/er/jaquesloussier/icecast.audio,jazz|classical|piano
154,Exclusively James Blunt,https://streaming.exclusive.radio/er/jamesblunt/icecast.audio,pop|singer-songwriter|acoustic
155,Exclusively James Brown,https://streaming.exclusive.radio/er/jamesbrown/icecast.audio,funk|soul|rhythm and blues
156,Exclusively James Taylor,https://streaming.exclusive.radio/er/jamestaylor/icecast.audio,folk|singer-songwriter|acoustic
157,Exclusively Jamie Cullum,https://streaming.exclusive.radio/er/jamiecullum/icecast.audio,jazz|piano|british
158,Exclusively Janet Jackson,https://streaming.exclusive.radio/er/janetjackson/icecast.audio,pop|rnb|female vocalists
159,Exclusively Jay-Z,https://streaming.exclusive.radio/er/jay-z/icecast.audio,hip-hop|rap|hip hop
160,Exclusively Jefferson Airplane,https://streaming.exclusive.radio/er/jeffersonairplane/icecast.audio,psychedelic rock|classic rock|60s
161,Exclusively Jennifer Lopez,https://streaming.exclusive.radio/er/jenniferlopez/icecast.audio,pop|rnb|latin
162,Exclusively Jerry Lee Lewis,https://streaming.exclusive.radio/er/jerryleelewis/icecast.audio,rockabilly|rock and roll|rock n roll
163,Exclusively Jethro Tull,https://streaming.exclusive.radio/er/jethrotull/icecast.audio,progressive rock|classic rock|folk rock
164,Exclusively Jim Reeves,https://streaming.exclusive.radio/er/jimreeves/icecast.audio,country|classic country|jim reeves
165,Exclusively Jimi Hendrix,https://streaming.exclusive.radio/er/hendrix/icecast.audio,classic rock|rock|blues
166,Exclusively JJ Cale,https://streaming.exclusive.radio/er/jjcale/icecast.audio,blues|blues rock|singer-songwriter
167,Exclusively Joan Baez,https://streaming.exclusive.radio/er/joanbaez/icecast.audio,folk|singer-songwriter|female vocalists
168,Exclusively Joan Jett,https://streaming.exclusive.radio/er/joanjett/icecast.audio,rock|female vocalists|classic rock
169,Exclusively Joe Bonamassa,https://streaming.exclusive.radio/er/joebonamassa/icecast.audio,blues rock|blues|guitar
170,Exclusively Joe Satriani,https://streaming.exclusive.radio/er/joesatriani/icecast.audio,guitar virtuoso|instrumental rock|instrumental
171,Exclusively John Coltrane,https://streaming.exclusive.radio/er/johncoltrane/icecast.audio,jazz|free jazz|saxophone
172,Exclusively John Denver,https://streaming.exclusive.radio/er/johndenver/icecast.audio,country|folk|singer-songwriter
173,Exclusively John Lee Hooker,https://streaming.exclusive.radio/er/johnleehooker/icecast.audio,blues|delta blues|classic blues
174,Exclusively John Lennon,https://streaming.exclusive.radio/er/lennon/icecast.audio,classic rock|rock|singer-songwriter
175,Exclusively John Mayall,https://streaming.exclusive.radio/er/johnmayall/icecast.audio,blues|blues rock|british blues
176,Exclusively Johnny Cash,https://streaming.exclusive.radio/er/johnnycash/icecast.audio,country|folk|singer-songwriter
177,Exclusively Johnny Mathis,https://streaming.exclusive.radio/er/johnnymathis/icecast.audio,oldies|60s|pop
178,Exclusively Johnny Nash,https://streaming.exclusive.radio/er/johnnynash/icecast.audio,reggae|soul|pop
179,Exclusively Jonas Brothers,https://streaming.exclusive.radio/er/jonasbrothers/icecast.audio,pop|pop rock|disney
180,Exclusively Joni Mitchell,https://streaming.exclusive.radio/er/jonimitchell/icecast.audio,folk|singer-songwriter|female vocalists
181,Exclusively Josh Groban,https://streaming.exclusive.radio/er/joshgroban/icecast.audio,classical|pop|opera
182,Exclusively Journey,https://streaming.exclusive.radio/er/journey/icecast.audio,classic rock|rock|hard rock
